date,priceArea,quantityKwh_sum,quantityKwh_mean
2025-11-13,NO3,77145180.072,642876.5006
2025-11-13,NO4,79560827.938,663006.8994833332
2025-11-13,NO5,82746135.585,574625.9415625
2025-11-14,NO1,72111100.117,600925.8343083333
2025-11-14,NO2,190527629.037,1587730.241975
2025-11-14,NO3,70343397.48200001,586194.9790166668
2025-11-14,NO4,95796233.065,798301.9422083333
2025-11-14,NO5,109966515.977,763656.3609513888
2025-11-15,NO1,68874081.833,573950.6819416668
2025-11-15,NO2,170143486.483,1417862.3873583334
2025-11-15,NO3,95267582.855,793896.5237916667
2025-11-15,NO4,85747552.59,714562.93825
2025-11-15,NO5,93955440.415,652468.3362152778
2025-11-16,NO1,67412837.607,561773.646725
2025-11-16,NO2,193743596.633,1614529.9719416664
2025-11-16,NO3,90290226.918,752418.55765
2025-11-16,NO4,92074832.8,767290.2733333333
2025-11-16,NO5,99862080.329,693486.6689513889
2025-11-17,NO1,65561327.295,546344.394125
2025-11-17,NO2,194018339.941,1616819.4995083334
2025-11-17,NO3,89065859.348,742215.4945666667
2025-11-17,NO4,99998641.969,833322.0164083333
2025-11-17,NO5,96395450.015,669412.8473263889
2025-11-18,NO1,64546979.58,537891.4965
2025-11-18,NO2,198680775.46199998,1655673.1288499997
2025-11-18,NO3,81538114.009,679484.2834083333
2025-11-18,NO4,101858296.167,848819.134725
2025-11-18,NO5,98341947.669,682930.1921458333
2025-11-19,NO1,66185757.561,551547.979675
2025-11-19,NO2,200200226.652,1668335.2221000001
2025-11-19,NO3,80334280.511,669452.3375916667
2025-11-19,NO4,102819931.78,856832.7648333333
2025-11-19,NO5,101286257.10700001,703376.7854652778
2025-11-20,NO1,66641490.457,555345.7538083333
2025-11-20,NO2,202619332.582,1688494.4381833333
2025-11-20,NO3,81445483.889,678712.3657416666
2025-11-20,NO4,100225170.633,835209.755275
2025-11-20,NO5,104022879.937,722381.1106736112
2025-11-21,NO1,55324748.557000004,481084.7700608696
2025-11-21,NO2,197122342.461,1714107.3257478261
2025-11-21,NO3,80191518.153,697317.5491565217
2025-11-21,NO4,94993299.321,826028.6897478261
2025-11-21,NO5,105368147.251,763537.2989202898
