date,priceArea,quantityKwh_sum,quantityKwh_mean,countMeteringPoints_sum
2025-11-10,NO2,97210711.015,810089.2584583333,0.0
2025-11-10,NO3,83173225.408,693110.2117333334,0.0
2025-11-10,NO4,61589048.723,513242.07269166666,0.0
2025-11-10,NO5,44739842.006,372832.01671666664,0.0
2025-11-11,NO1,96201040.081,801675.3340083334,0.0
2025-11-11,NO2,97434527.112,811954.3926,0.0
2025-11-11,NO3,83853217.174,698776.8097833333,0.0
2025-11-11,NO4,62643169.434,522026.41195,0.0
2025-11-11,NO5,45368240.489,378068.6707416667,0.0
2025-11-12,NO1,92169051.442,768075.4286833333,0.0
2025-11-12,NO2,99886066.494,832383.88745,0.0
2025-11-12,NO3,83214513.874,693454.2822833334,0.0
2025-11-12,NO4,62362741.521,519689.512675,0.0
2025-11-12,NO5,46018945.956,383491.21630000003,0.0
2025-11-13,NO1,100509883.153,837582.3596083333,0.0
2025-11-13,NO2,103691719.293,864097.660775,0.0
2025-11-13,NO3,88783092.791,739859.1065916666,0.0
2025-11-13,NO4,62482406.956,520686.72463333333,0.0
2025-11-13,NO5,49227637.465,410230.31220833334,0.0
2025-11-14,NO1,113712233.755,947601.9479583333,0.0
2025-11-14,NO2,108508705.538,904239.2128166667,0.0
2025-11-14,NO3,91212121.063,760101.0088583332,0.0
2025-11-14,NO4,63942092.046000004,532850.76705,0.0
2025-11-14,NO5,50640307.035,422002.55862499995,0.0
2025-11-15,NO1,111079742.476,925664.5206333332,0.0
2025-11-15,NO2,106497197.519,887476.6459916666,0.0
2025-11-15,NO3,87722692.448,731022.4370666667,0.0
2025-11-15,NO4,60429469.807,503578.9150583333,0.0
2025-11-15,NO5,50303314.383,419194.286525,0.0
2025-11-16,NO1,107789921.721,898249.347675,0.0
2025-11-16,NO2,103902374.426,865853.1202166666,0.0
2025-11-16,NO3,86488361.006,720736.3417166666,0.0
2025-11-16,NO4,60897240.851,507477.0070916667,0.0
2025-11-16,NO5,48839131.457,406992.76214166667,0.0
2025-11-17,NO1,119734988.122,997791.5676833333,0.0
2025-11-17,NO2,110527863.333,921065.5277750001,0.0
2025-11-17,NO3,90395172.331,753293.1027583333,0.0
2025-11-17,NO4,62873513.744,523945.9478666667,0.0
2025-11-17,NO5,51761270.045,431343.9170416667,0.0
2025-11-18,NO1,122380281.66,1019835.6805,0.0
2025-11-18,NO2,113018131.721,941817.7643416667,0.0
2025-11-18,NO3,89273766.951,743948.0579250001,0.0
2025-11-18,NO4,63966269.048,533052.2420666667,0.0
2025-11-18,NO5,52198396.271,434986.6355916666,0.0
2025-11-19,NO1,126441816.122,1053681.8010166667,0.0
2025-11-19,NO2,118174089.056,984784.0754666666,0.0
2025-11-19,NO3,90937977.876,757816.4823,0.0
2025-11-19,NO4,64070439.973,533920.3331083333,0.0
2025-11-19,NO5,54123230.446,451026.92038333334,0.0
2025-11-20,NO1,134786770.424,1123223.0868666666,0.0
2025-11-20,NO2,121189706.949,1009914.224575,0.0
2025-11-20,NO3,93259716.975,777164.308125,0.0
2025-11-20,NO4,65143158.781,542859.6565083334,0.0
2025-11-20,NO5,55340569.724,461171.41436666664,0.0
2025-11-21,NO1,128008128.086,1113114.1572695652,0.0
2025-11-21,NO2,115794957.85800001,1006912.6770260871,0.0
2025-11-21,NO3,90102946.839,783503.8855565217,0.0
2025-11-21,NO4,62296887.649000004,541712.0665130435,0.0
2025-11-21,NO5,53446270.456,464750.17787826085,0.0
